timestamp,open,high,low,close,volume
2025-05-13 11:04:16,30000.0,30223.146633771314,29898.744425928067,30120.634037547316,58.34184578092631
2025-05-13 11:05:16,30120.634037547316,30394.80311116551,29838.100690532243,29981.416337918195,50.69166660731545
2025-05-13 11:06:16,29981.416337918195,30065.90203446644,29689.741809849602,29776.43040059746,33.89830808438073
2025-05-13 11:07:16,29776.43040059746,30066.192408643074,29642.889811593104,30035.800622288603,79.46552657358278
2025-05-13 11:08:16,30035.800622288603,30220.004732194044,29874.35022199333,29892.321971249094,77.64416612979663
2025-05-13 11:09:16,29892.321971249094,30000.375442324676,29767.637114582976,29985.559083406984,53.32352957580218
2025-05-13 11:10:16,29985.559083406984,30079.11668989532,29726.959049832876,29865.01029707646,81.82354012108556
2025-05-13 11:11:16,29865.01029707646,29969.585134197252,29854.27663846372,29952.896129550896,78.74385706235032
2025-05-13 11:12:16,29952.896129550896,29966.12587952556,29904.971118178077,29905.987018375326,49.56251633029364
2025-05-13 11:13:16,29905.987018375326,30160.251149732816,29691.19249203226,29760.4483493854,77.79660949689627
2025-05-13 11:14:16,29760.4483493854,29915.452122520706,29588.95148430131,29757.49852060434,28.830431854302667
2025-05-13 11:15:16,29757.49852060434,29855.621122626027,29648.259204350787,29809.272260149446,77.68248362068336
2025-05-13 11:16:16,29809.272260149446,30052.063103774573,29622.247964342405,29843.805461876153,62.42782610330466
2025-05-13 11:17:16,29843.805461876153,30062.519227166707,29746.557524516167,29771.41588229393,64.52061525897884
2025-05-13 11:18:16,29771.41588229393,29978.342398954726,29633.42997562757,29740.80896031888,43.27796942000176
2025-05-13 11:19:16,29740.80896031888,29802.417621096058,29681.34463634864,29744.676390459637,61.250970287064014
2025-05-13 11:20:16,29744.676390459637,29885.485072526983,29617.13308820983,29840.628394619405,19.858179658496482
2025-05-13 11:21:16,29840.628394619405,30024.554341135197,29702.931951861134,29763.20615960709,68.60449675443058
2025-05-13 11:22:16,29763.20615960709,29959.632293056035,29585.624914004005,29874.691008421265,61.90526535488866
2025-05-13 11:23:16,29874.691008421265,30131.15701368414,29754.47937287615,30100.211485484233,61.33733370946385
2025-05-13 11:24:16,30100.211485484233,30153.60626078233,29845.108407091706,30103.504423576323,36.2298131559963
2025-05-13 11:25:16,30103.504423576323,30123.946618898357,29977.16799886499,30096.181816888875,10.228287357568206
2025-05-13 11:26:16,30096.181816888875,30274.818358248842,29991.171986523445,30105.195398789157,20.936517542923198
2025-05-13 11:27:16,30105.195398789157,30156.906377574756,29861.470518811428,29934.116326111718,88.75645406240444
2025-05-13 11:28:16,29934.116326111718,30088.480388171985,29930.44831558396,30063.911712886547,68.09529320887572
